delivery_partner_id,partner_name,vehicle_type,employment_type,avg_rating,is_active
DP11426,Kiran O,Scooter,Part-time,4.09,Y
DP01740,Deepak H,Cycle,Part-time,3.31,Y
DP03778,Neha I,Bike,Part-time,4.13,Y
DP00001,Manoj S,Scooter,Contract,3.96,Y
DP14237,Ananya G,Bike,Part-time,4.34,Y
DP11242,Neha B,Cycle,Full-time,4.2,Y
DP02206,Rakesh Y,Scooter,Contract,4.37,N
DP03809,Shreya B,Scooter,Part-time,3.81,Y
DP13772,Ravi J,Cycle,Full-time,4.32,Y
DP08640,Suresh C,Bike,Full-time,4.1,Y
DP13121,Neha V,Bike,Full-time,3.89,Y
DP13852,Meena S,Bike,Contract,4.7,Y
DP05845,Pooja P,Bike,Full-time,4.07,Y
DP06238,Manoj U,Bike,Full-time,3.97,Y
DP02795,Arjun W,Scooter,Full-time,4.07,Y
DP06738,Neha E,Scooter,Full-time,4.25,Y
DP11383,Shreya R,Scooter,Full-time,4.28,Y
DP02677,Kiran Q,Bike,Contract,4.51,Y
DP03566,Rakesh W,Bike,Contract,4.79,Y
DP01238,Sneha T,Scooter,Contract,4.46,Y
DP09346,Suresh F,Scooter,Full-time,4.75,Y
DP12235,Manoj U,Bike,Full-time,3.85,Y
DP11594,Amit G,Bike,Full-time,4.03,Y
DP04616,Rakesh D,Bike,Part-time,3.95,Y
DP01366,Deepak L,Scooter,Part-time,4.38,Y
DP12916,Rahul N,Bike,Contract,4.45,N
DP05524,Ananya W,Car,Full-time,4.5,Y
DP01631,Meena N,Scooter,Full-time,4.2,Y
DP01114,Amit W,Bike,Full-time,4.04,Y
DP13768,Rahul Q,Scooter,Part-time,4.08,Y
DP10807,Nikhil H,Scooter,Full-time,3.56,Y
DP09586,Neha Z,Bike,Part-time,4.51,Y
DP04127,Ravi A,Bike,Contract,4.17,Y
DP06383,Pooja E,Scooter,Contract,4.54,Y
DP01828,Ravi O,Cycle,Full-time,3.98,Y
DP02507,Manoj S,Scooter,Full-time,4.5,Y
DP04469,Santosh K,Scooter,Part-time,4.05,Y
DP10063,Rakesh X,Car,Contract,4.09,Y
DP13817,Kiran S,Bike,Contract,3.85,Y
DP01947,Priya Z,Scooter,Full-time,3.89,Y
DP14074,Santosh A,Cycle,Full-time,4.14,Y
DP07410,Nikhil U,Bike,Full-time,3.97,Y
DP13135,Meena J,Bike,Part-time,4.03,Y
DP14357,Pooja F,Scooter,Full-time,4.22,Y
DP07367,Rahul R,Scooter,Part-time,4,Y
DP11743,Amit Q,Scooter,Contract,3.65,Y
DP05853,Ravi V,Cycle,Full-time,4.4,Y
DP02217,Kiran A,Scooter,Contract,4.1,Y
DP03159,Vikas N,Bike,Contract,4.1,Y
DP08164,Nikhil T,Bike,Full-time,4.51,N
DP03869,Nikhil H,Bike,Part-time,4.41,Y
DP06956,Shreya X,Bike,Full-time,3.97,Y
DP03991,Kiran P,Scooter,Full-time,4.16,Y
DP10714,Deepak U,Bike,Full-time,3.88,Y
DP06617,Ravi Q,Scooter,Full-time,4.2,Y
DP13830,Santosh U,Bike,Full-time,4.43,Y
DP00254,Suresh F,Scooter,Full-time,3.7,Y
DP01837,Deepak C,Scooter,Full-time,4.37,Y
DP07067,Nikhil K,Car,Contract,3.91,Y
DP14904,Rakesh R,Bike,Part-time,4.2,Y
DP07343,Priya K,Scooter,Contract,4.09,Y
DP08718,Arjun D,Cycle,Full-time,4.68,N
DP01467,Vikas A,Bike,Full-time,3.84,Y
DP08426,Vikas H,Scooter,Contract,4.01,Y
DP06466,Deepak D,Cycle,Full-time,4.47,Y
DP06470,Sneha S,Car,Contract,4.43,Y
DP12880,Rahul N,Cycle,Contract,4.88,Y
DP11348,Divya L,Bike,Part-time,4.31,Y
DP03210,Manoj D,Cycle,Full-time,4.16,Y
DP04101,Priya L,Scooter,Part-time,4.92,Y
DP07859,Ananya Y,Bike,Full-time,4.28,Y
DP04035,Neha R,Bike,Contract,4.23,Y
DP07644,Divya W,Car,Part-time,3.86,Y
DP07317,Manoj Z,Scooter,Contract,4.1,N
DP06928,Suresh B,Bike,Full-time,3.73,Y
DP13939,Santosh H,Scooter,Part-time,4.06,Y
DP03101,Neha Q,Bike,Part-time,4.22,Y
DP02304,Arjun F,Car,Full-time,3.97,Y
DP13601,Deepak U,Scooter,Full-time,4.23,Y
DP06527,Neha B,Car,Contract,4.09,Y
DP00566,Priya I,Scooter,Full-time,4.48,Y
DP02231,Deepak F,Bike,Full-time,4.15,Y
DP14554,Santosh G,Scooter,Contract,4.52,Y
DP13763,Vikas F,Cycle,Contract,4.08,Y
DP08483,Ananya A,Scooter,Part-time,4.36,Y
DP07072,Priya Y,Bike,Full-time,4.32,Y
DP04203,Arjun R,Bike,Contract,4.5,Y
DP10903,Divya H,Scooter,Full-time,4.36,Y
DP01362,Ananya B,Scooter,Full-time,4.37,Y
DP04745,Vikas F,Bike,Full-time,4.24,Y
DP12226,Shreya B,Scooter,Part-time,4.44,N
DP10991,Rahul S,Bike,Full-time,4.64,Y
DP01588,Rakesh Y,Bike,Full-time,4.48,Y
DP12096,Vikas C,Bike,Contract,4.77,N
DP03193,Suresh C,Scooter,Part-time,4.43,Y
DP12884,Meena K,Bike,Full-time,4.79,Y
DP06739,Ananya O,Bike,Full-time,3.78,N
DP00448,Sneha K,Bike,Part-time,4.24,Y
DP06195,Vikas F,Bike,Full-time,4.08,Y
DP12961,Shreya N,Bike,Full-time,4.35,Y
DP00982,Divya Y,Scooter,Contract,4.6,Y
DP14849,Rahul F,Scooter,Full-time,3.83,Y
DP09540,Ravi L,Scooter,Part-time,4.45,Y
DP13463,Meena R,Bike,Part-time,4.35,Y
DP01300,Pooja F,Bike,Full-time,4.42,Y
DP12866,Amit L,Cycle,Full-time,4.64,Y
DP14037,Santosh Z,Cycle,Full-time,4.01,Y
DP02380,Rahul M,Bike,Part-time,4.11,Y
DP00901,Deepak P,Scooter,Contract,4.01,Y
DP07479,Pooja B,Bike,Part-time,4.08,Y
DP10638,Neha K,Cycle,Part-time,3.94,Y
DP13238,Neha H,Bike,Part-time,4.5,Y
DP03707,Meena P,Bike,Full-time,4.16,Y
DP01209,Ananya K,Scooter,Contract,4.52,Y
DP07627,Manoj Q,Cycle,Part-time,4.01,Y
DP04094,Pooja C,Scooter,Contract,4.2,N
DP12860,Ravi X,Bike,Full-time,4.58,Y
DP09305,Kiran B,Cycle,Part-time,4.16,Y
DP09437,Vikas M,Scooter,Full-time,4.26,Y
DP01955,Arjun P,Cycle,Contract,3.94,Y
DP01303,Arjun T,Bike,Full-time,4.6,Y
DP09166,Amit O,Scooter,Full-time,3.65,Y
DP05117,Manoj N,Scooter,Contract,4.45,Y
DP04008,Priya I,Bike,Full-time,4.26,Y
DP13086,Shreya A,Scooter,Full-time,4.32,Y
DP06092,Rakesh J,Scooter,Contract,4.18,Y
DP09661,Shreya E,Bike,Part-time,4.41,Y
DP07093,Nikhil H,Scooter,Contract,4.01,Y
DP04245,Amit W,Cycle,Part-time,4.22,Y
DP08358,Vikas N,Scooter,Full-time,4.65,Y
DP02485,Divya T,Scooter,Full-time,4.34,Y
DP08360,Meena W,Bike,Full-time,3.95,Y
DP06989,Ravi K,Bike,Full-time,4.21,Y
DP07023,Divya R,Bike,Contract,4.01,Y
DP05775,Manoj P,Bike,Part-time,3.61,Y
DP00934,Rahul A,Scooter,Contract,3.9,Y
DP11767,Priya Y,Bike,Part-time,3.68,N
DP12627,Meena A,Cycle,Full-time,4.35,Y
DP10676,Deepak G,Scooter,Part-time,4.12,Y
DP12114,Deepak F,Bike,Full-time,4.4,Y
DP08432,Arjun K,Car,Full-time,4.1,Y
DP05086,Vikas S,Cycle,Contract,3.85,Y
DP12418,Sneha K,Bike,Full-time,3.84,N
DP07948,Rahul H,Bike,Part-time,3.96,Y
DP12542,Nikhil Q,Bike,Full-time,4.59,Y
DP03466,Shreya A,Scooter,Contract,4.16,Y
DP10476,Deepak G,Bike,Part-time,4.66,Y
DP11118,Arjun B,Cycle,Part-time,4.29,Y
DP04639,Kiran S,Scooter,Contract,4.12,N
DP13821,Ravi U,Bike,Full-time,4.18,Y
DP14389,Manoj J,Scooter,Contract,4.3,Y
DP11959,Arjun I,Bike,Part-time,4.71,Y
DP13016,Deepak I,Bike,Full-time,3.53,Y
DP02488,Amit F,Bike,Full-time,3.92,Y
DP13415,Meena V,Bike,Full-time,3.97,Y
DP10284,Ravi I,Scooter,Full-time,4.48,Y
DP12552,Rahul E,Bike,Contract,4.63,Y
DP08403,Amit C,Scooter,Full-time,4.4,Y
DP07007,Priya W,Cycle,Part-time,4.11,Y
DP01381,Rahul D,Scooter,Part-time,3.99,N
DP08476,Meena H,Scooter,Full-time,4.26,Y
DP12798,Shreya I,Bike,Full-time,4.21,Y
DP10089,Priya R,Scooter,Full-time,4.37,Y
DP12546,Vikas Q,Bike,Part-time,4.13,Y
DP05531,Ananya C,Bike,Part-time,4.53,Y
DP10831,Kiran D,Cycle,Full-time,3.92,N
DP07623,Nikhil V,Car,Full-time,3.94,Y
DP05721,Amit H,Scooter,Contract,3.61,Y
DP11684,Santosh F,Bike,Full-time,4.45,Y
DP11694,Vikas D,Bike,Part-time,4.25,Y
DP09647,Deepak E,Scooter,Contract,4.46,Y
DP01309,Priya H,Scooter,Part-time,5,Y
DP06331,Santosh G,Scooter,Full-time,3.98,Y
DP05558,Kiran S,Scooter,Full-time,4.31,Y
DP02679,Sneha T,Scooter,Full-time,3.86,Y
DP14059,Deepak C,Bike,Full-time,4.34,Y
DP10225,Priya D,Scooter,Part-time,4.15,Y
DP03085,Manoj V,Scooter,Part-time,4.83,Y
DP02087,Sneha F,Scooter,Part-time,3.48,Y
DP12903,Suresh I,Bike,Part-time,4.49,N
DP09011,Rakesh U,Bike,Part-time,4.19,Y
DP01731,Vikas M,Cycle,Part-time,4.19,Y
DP00723,Suresh C,Scooter,Contract,4.38,Y
DP01184,Ananya F,Car,Part-time,4.63,Y
DP04664,Sneha T,Scooter,Contract,4.51,Y
DP03311,Kiran T,Scooter,Part-time,4.36,Y
DP05593,Shreya T,Cycle,Part-time,4.01,Y
DP05097,Pooja A,Scooter,Contract,4.23,N
DP00583,Nikhil E,Scooter,Full-time,4.17,Y
DP13879,Ravi G,Scooter,Full-time,3.66,Y
DP01894,Ravi L,Scooter,Full-time,4.29,Y
DP04354,Sneha Y,Bike,Part-time,3.88,Y
DP11223,Ravi F,Scooter,Part-time,4.13,Y
DP14526,Amit N,Car,Full-time,4.77,Y
DP12018,Sneha B,Car,Part-time,4.31,Y
DP06855,Santosh M,Scooter,Part-time,4.35,Y
DP03960,Meena C,Bike,Full-time,4.36,Y
DP08067,Sneha T,Cycle,Full-time,4.29,N
DP04506,Santosh O,Bike,Contract,4.18,Y
DP14859,Vikas N,Bike,Full-time,4.15,Y
DP06001,Deepak F,Cycle,Full-time,3.81,Y
DP08414,Amit X,Bike,Part-time,3.91,Y
DP04086,Ravi B,Cycle,Full-time,4.17,Y
DP03836,Pooja D,Cycle,Part-time,3.99,Y
DP11964,Kiran U,Scooter,Full-time,3.84,N
DP00324,Amit Y,Car,Full-time,4.47,Y
DP00946,Neha Y,Bike,Full-time,4.46,Y
DP05247,Kiran W,Bike,Contract,3.89,Y
DP14758,Deepak N,Bike,Part-time,4.72,Y
DP04336,Rakesh H,Bike,Part-time,4.15,Y
DP08923,Rahul F,Bike,Contract,4.46,Y
DP11029,Meena U,Bike,Part-time,4.22,Y
DP14960,Rahul S,Scooter,Part-time,4.29,Y
DP11329,Suresh H,Car,Full-time,4.37,Y
DP09450,Vikas Z,Cycle,Full-time,4.18,Y
DP04931,Shreya S,Scooter,Part-time,4.41,Y
DP03833,Priya D,Bike,Part-time,3.41,Y
DP00564,Rahul E,Bike,Full-time,4.04,Y
DP04262,Neha N,Bike,Contract,4.24,Y
DP11568,Priya U,Scooter,Part-time,4.51,Y
DP10216,Santosh K,Scooter,Full-time,3.97,Y
DP09880,Kiran P,Car,Part-time,4.21,Y
DP04986,Neha Y,Car,Full-time,4.2,Y
DP02938,Rahul G,Scooter,Full-time,4.17,Y
DP13389,Sneha X,Bike,Part-time,4.75,Y
DP01784,Divya Z,Scooter,Full-time,4.05,Y
DP05572,Priya Y,Scooter,Full-time,4.35,Y
DP14734,Rakesh X,Scooter,Full-time,4.12,Y
DP02691,Priya N,Bike,Part-time,4.42,Y
DP11341,Sneha F,Car,Part-time,3.81,Y
DP11381,Meena Z,Cycle,Full-time,3.97,Y
DP03060,Ravi O,Scooter,Full-time,4.4,Y
DP10119,Neha R,Bike,Full-time,4.02,Y
DP04018,Santosh Z,Bike,Part-time,4.55,Y
DP07549,Divya Q,Scooter,Full-time,4.31,Y
DP02966,Amit J,Car,Full-time,4.09,Y
DP02438,Arjun O,Bike,Contract,3.87,Y
DP02003,Sneha Z,Car,Contract,4.21,N
DP11628,Deepak S,Scooter,Contract,4.13,Y
DP14424,Divya F,Car,Contract,4.13,N
DP07180,Sneha R,Scooter,Full-time,4.33,Y
DP02887,Arjun T,Scooter,Part-time,4.19,Y
DP04970,Ananya T,Bike,Full-time,4.67,Y
DP06876,Shreya B,Bike,Full-time,3.82,Y
DP03547,Manoj K,Scooter,Full-time,3.95,Y
DP05523,Pooja E,Scooter,Full-time,4.12,Y
DP13090,Vikas Z,Car,Part-time,4.03,N
DP03450,Meena Y,Cycle,Part-time,3.96,Y
DP14279,Ravi Y,Scooter,Full-time,4.07,Y
DP08013,Kiran T,Cycle,Part-time,4.15,Y
DP12931,Nikhil C,Scooter,Full-time,4.7,Y
DP07847,Divya B,Scooter,Part-time,4.06,N
DP09565,Meena Z,Bike,Contract,4.46,Y
DP11992,Manoj J,Scooter,Full-time,4.64,Y
DP03879,Amit M,Scooter,Full-time,4.37,Y
DP14325,Rahul F,Scooter,Part-time,4.37,Y
DP02491,Sneha H,Car,Full-time,4.46,Y
DP13533,Vikas C,Bike,Part-time,3.84,Y
DP04875,Amit V,Scooter,Contract,4.03,Y
DP10845,Vikas A,Scooter,Full-time,3.64,Y
DP08763,Rahul I,Car,Full-time,4.67,Y
DP09240,Priya J,Scooter,Full-time,5,Y
DP00806,Ananya C,Scooter,Part-time,4.41,Y
DP03348,Arjun K,Bike,Full-time,4.35,Y
DP13449,Santosh T,Bike,Contract,4.09,Y
DP12190,Nikhil G,Bike,Full-time,4.46,Y
DP05310,Sneha K,Scooter,Full-time,4.15,Y
DP11074,Neha F,Bike,Full-time,4.1,Y
DP00874,Sneha Y,Bike,Part-time,4.21,Y
DP13125,Pooja U,Car,Contract,4.4,Y
DP10679,Santosh X,Scooter,Full-time,4.05,Y
DP14142,Santosh O,Scooter,Full-time,4.62,Y
DP07734,Neha Q,Bike,Full-time,3.99,Y
DP10838,Shreya J,Cycle,Full-time,4.01,Y
DP10430,Neha Y,Bike,Full-time,3.81,N
DP08724,Ravi Z,Scooter,Full-time,4.02,Y
DP10096,Kiran D,Cycle,Contract,3.95,Y
DP03299,Santosh B,Scooter,Full-time,4.32,Y
DP13570,Shreya U,Car,Full-time,4,Y
DP06892,Ravi O,Scooter,Full-time,4.65,Y
DP12095,Nikhil Y,Scooter,Full-time,4.93,Y
DP05486,Kiran J,Scooter,Contract,4.15,Y
DP10895,Pooja P,Scooter,Part-time,4.35,N
DP00303,Manoj M,Scooter,Full-time,3.84,N
DP14723,Priya L,Scooter,Contract,4.61,Y
DP10376,Divya Q,Cycle,Full-time,3.87,Y
DP05092,Nikhil U,Scooter,Part-time,4.25,Y
DP14335,Santosh W,Cycle,Full-time,4.25,Y
DP07813,Meena D,Scooter,Contract,4.46,Y
DP12960,Santosh N,Scooter,Part-time,4.14,Y
DP10884,Rakesh Z,Scooter,Part-time,3.8,N
DP02503,Suresh Z,Car,Full-time,3.91,Y
DP03440,Pooja J,Bike,Full-time,3.91,Y
DP06190,Deepak W,Bike,Part-time,4.14,Y
DP03769,Manoj F,Bike,Contract,4.59,N
DP03736,Deepak Q,Scooter,Part-time,4.06,Y
DP03660,Sneha V,Cycle,Full-time,4.08,Y
DP04516,Kiran P,Bike,Part-time,4.48,Y
DP03066,Deepak I,Scooter,Contract,3.46,Y
DP09348,Kiran H,Bike,Contract,4.16,Y
DP14634,Pooja N,Scooter,Part-time,4.48,Y
DP12009,Manoj Y,Scooter,Contract,4.05,N
DP13127,Nikhil K,Scooter,Full-time,4.44,N
DP12950,Pooja M,Scooter,Part-time,4.19,Y
DP04017,Kiran T,Cycle,Part-time,4.38,Y
DP05112,Nikhil V,Cycle,Full-time,4.33,N
DP05927,Pooja E,Scooter,Contract,4.07,Y
DP11027,Neha J,Scooter,Contract,4.58,Y
DP11335,Priya B,Scooter,Contract,4.04,Y
DP03563,Vikas V,Bike,Full-time,4.39,Y
DP03995,Rahul L,Scooter,Full-time,4.82,Y
DP08896,Vikas M,Scooter,Full-time,4.35,Y
DP12143,Rakesh L,Scooter,Full-time,4.25,Y
DP03898,Deepak H,Bike,Part-time,4.82,Y
DP14720,Rahul Y,Scooter,Part-time,4.4,N
DP07717,Priya L,Bike,Full-time,4.31,Y
DP04441,Neha J,Bike,Part-time,4.78,Y
DP11910,Shreya N,Scooter,Part-time,4.35,Y
DP06579,Arjun P,Car,Full-time,4.26,N
DP02016,Shreya H,Scooter,Full-time,4.3,Y
DP00860,Divya B,Cycle,Full-time,4.35,Y
DP14256,Nikhil R,Scooter,Part-time,4.18,Y
DP10342,Deepak Y,Bike,Full-time,4.4,N
DP10538,Arjun I,Scooter,Full-time,3.91,Y
DP03624,Rahul P,Cycle,Full-time,4.18,Y
DP00769,Meena J,Cycle,Full-time,4.29,Y
DP11877,Rahul T,Scooter,Full-time,4.03,N
DP06010,Santosh T,Scooter,Part-time,4.68,Y
DP12621,Kiran B,Cycle,Part-time,4.33,Y
DP14026,Manoj V,Bike,Part-time,4.11,Y
DP10123,Manoj Q,Scooter,Contract,3.89,Y
DP02248,Pooja B,Bike,Full-time,4.11,N
DP10797,Deepak I,Car,Contract,4.07,Y
DP04662,Arjun X,Bike,Contract,4.26,N
DP11825,Rakesh V,Bike,Full-time,3.65,Y
DP07052,Priya V,Bike,Full-time,4.78,Y
DP12243,Sneha H,Scooter,Full-time,4.2,Y
DP14826,Neha I,Cycle,Full-time,4.17,Y
DP06263,Sneha K,Bike,Part-time,4.02,Y
DP04509,Priya J,Scooter,Full-time,4.4,Y
DP14614,Ravi N,Scooter,Part-time,3.78,Y
DP13929,Rakesh U,Cycle,Contract,4.43,N
DP01151,Priya D,Bike,Full-time,4.07,N
DP10723,Priya S,Bike,Contract,3.94,Y
DP03957,Ananya I,Bike,Full-time,4.01,N
DP05289,Amit D,Scooter,Contract,4.4,Y
DP01666,Nikhil Y,Scooter,Part-time,3.4,Y
DP11555,Priya N,Scooter,Full-time,4.59,Y
DP07373,Shreya A,Scooter,Full-time,3.97,Y
DP03802,Meena J,Bike,Full-time,4.06,Y
DP12239,Ananya S,Scooter,Contract,3.96,Y
DP09329,Santosh C,Cycle,Contract,4.26,Y
DP10468,Deepak T,Car,Part-time,4.32,Y
DP07634,Neha S,Scooter,Part-time,4.01,N
DP12819,Divya P,Scooter,Full-time,4.36,Y
DP13578,Rakesh G,Bike,Part-time,3.85,N
DP13528,Rakesh X,Bike,Part-time,4.12,Y
DP01591,Manoj U,Bike,Part-time,4.36,Y
DP04981,Vikas J,Bike,Part-time,4.61,Y
DP01992,Kiran W,Bike,Full-time,4.31,Y
DP10708,Arjun U,Scooter,Part-time,4.27,Y
DP01935,Priya T,Bike,Full-time,4.3,Y
DP12987,Amit P,Scooter,Contract,4.14,Y
DP02334,Ravi P,Scooter,Full-time,4.31,Y
DP12124,Santosh W,Scooter,Part-time,4.3,Y
DP08302,Kiran R,Cycle,Full-time,4.57,Y
DP00164,Meena B,Bike,Full-time,3.93,Y
DP04965,Amit M,Scooter,Part-time,3.68,Y
DP04730,Suresh N,Bike,Full-time,3.89,Y
DP06598,Nikhil K,Bike,Full-time,3.76,Y
DP07907,Shreya B,Scooter,Part-time,4.21,Y
DP14980,Priya E,Bike,Part-time,4.16,Y
DP11764,Amit N,Scooter,Full-time,4.07,Y
DP02397,Rahul L,Bike,Part-time,4.64,Y
DP03850,Ananya E,Bike,Full-time,4.52,N
DP09226,Shreya F,Bike,Contract,3.61,Y
DP02913,Ravi J,Cycle,Full-time,3.84,Y
DP11988,Meena N,Scooter,Full-time,4.11,Y
DP00913,Sneha F,Scooter,Full-time,3.92,Y
DP10102,Vikas W,Scooter,Contract,4.31,N
DP12266,Shreya P,Cycle,Contract,4.19,Y
DP00248,Suresh S,Bike,Full-time,3.87,Y
DP07527,Kiran A,Car,Contract,3.77,Y
DP14683,Ravi Q,Scooter,Part-time,3.92,N
DP00609,Meena O,Scooter,Full-time,3.72,Y
DP05778,Deepak D,Bike,Full-time,4.19,Y
DP13818,Ravi B,Scooter,Full-time,4.2,Y
DP02992,Manoj C,Scooter,Full-time,4.01,N
DP08344,Priya G,Cycle,Full-time,4.19,Y
DP14274,Vikas W,Bike,Contract,4.14,Y
DP10805,Pooja W,Bike,Contract,4.08,Y
DP07213,Shreya D,Cycle,Part-time,4.49,Y
DP00624,Nikhil C,Cycle,Full-time,4.45,Y
DP06675,Nikhil K,Bike,Full-time,4.08,Y
DP12685,Ravi N,Scooter,Part-time,3.76,Y
DP09645,Neha L,Car,Contract,4.14,Y
DP12482,Manoj U,Bike,Part-time,3.84,Y
DP13005,Pooja O,Bike,Full-time,4.34,Y
DP04954,Pooja U,Cycle,Full-time,4.15,Y
DP09567,Shreya M,Scooter,Contract,3.34,Y
DP01872,Ravi M,Bike,Contract,4.15,Y
DP02850,Santosh A,Scooter,Full-time,4.03,Y
DP10276,Rahul T,Scooter,Part-time,4.11,Y
DP00080,Suresh K,Bike,Contract,4.39,Y
DP06710,Suresh N,Scooter,Part-time,4.36,Y
DP09198,Ananya F,Bike,Part-time,3.98,Y
DP11378,Vikas R,Scooter,Full-time,4.4,Y
DP13128,Deepak V,Car,Full-time,3.93,Y
DP10210,Meena T,Scooter,Part-time,4.02,N
DP01647,Rakesh V,Scooter,Full-time,3.96,Y
DP10178,Amit H,Scooter,Contract,4.26,Y
DP08886,Suresh C,Car,Part-time,3.8,Y
DP11527,Priya E,Bike,Full-time,3.97,Y
DP03806,Neha Q,Bike,Part-time,4.28,N
DP12262,Sneha G,Scooter,Part-time,3.5,Y
DP14011,Ravi E,Bike,Full-time,4.52,Y
DP08753,Santosh D,Scooter,Contract,4.48,N
DP04690,Ravi F,Scooter,Full-time,4.86,Y
DP04165,Santosh B,Cycle,Full-time,4.52,Y
DP04422,Ravi D,Cycle,Full-time,3.75,N
DP00490,Vikas F,Scooter,Full-time,4.33,N
DP02212,Rahul W,Scooter,Full-time,3.82,Y
DP03571,Deepak K,Cycle,Contract,4.22,Y
DP13977,Amit U,Scooter,Contract,4.46,Y
